sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0469	15.723270440251572	20.51282051282051	32.06751054852319	17.094017094017094	32.2061191626409	28.80658436213994	27.72277227722769	42.81345565749238	32.11517165005533	22.29654403567447
S0470	40.880503144654085	46.153846153846146	38.81856540084388	25.64102564102564	67.6328502415459	36.35116598079563	49.504950495049414	42.81345565749238	48.172757475083074	39.01895206243032
S0471	50.314465408805034	56.410256410256395	66.66666666666671	44.87179487179487	59.58132045088567	34.293552812071354	50.82508250825073	44.34250764525997	44.85049833887044	49.052396878483854
S0472	232.7044025157234	297.4358974358977	399.99999999999784	284.1880341880342	492.75362318840166	305.21262002743566	384.1584158415887	334.86238532110013	332.7796234772937	328.874024526199
S0473	182.38993710691832	179.48717948717953	271.72995780590793	183.76068376068375	268.92109500805134	200.27434842249758	261.38613861386096	304.28134556574895	232.0044296788463	168.3389074693425
S0474	383.6477987421374	410.25641025641073	572.9957805907112	303.4188034188034	536.2318840579661	445.8161865569248	535.9735973597466	573.3944954128417	519.379844961232	385.730211817169
S0475	455.97484276729404	507.69230769230836	769.6202531645464	553.4188034188045	916.2640901771221	614.5404663923202	742.5742574257615	825.6880733944984	716.5005537098434	686.7335562987661
S0476	342.76729559748367	302.5641025641028	356.11814345991445	267.0940170940171	428.341384863121	313.4430727023326	394.059405940599	396.0244648318025	332.22591362125826	382.3857302118178
S0477	15.723270440251572	46.153846153846146	39.66244725738397	36.324786324786324	45.088566827697264	23.319615912208516	39.60396039603954	32.11009174311927	34.33001107419709	33.444816053511694
S0478	44.0251572327044	25.64102564102564	59.07172995780596	47.008547008547005	70.85346215780999	42.52400548696845	50.16501650165007	42.81345565749238	25.4706533776301	30.100334448160524
S0479	53.45911949685535	10.256410256410255	53.16455696202535	38.46153846153846	43.47826086956522	21.94787379972566	31.023102310230982	24.464831804281346	23.255813953488357	13.377926421404686
S0480	69.18238993710693	35.8974358974359	54.852320675105524	44.87179487179487	46.69887278582931	26.748971193415656	50.16501650165007	33.63914373088686	24.916943521594664	16.722408026755858
S0481	9.433962264150942	10.256410256410255	18.565400843881857	14.957264957264956	32.2061191626409	14.403292181069954	26.402640264026374	16.819571865443425	14.396456256921377	17.83723522853958
S0482	53.45911949685535	0	11.814345991561185	21.367521367521366	16.10305958132045	16.460905349794235	17.821782178217816	18.34862385321101	14.396456256921377	7.803790412486066
S0483	40.880503144654085	20.51282051282051	59.07172995780596	12.82051282051282	19.32367149758454	12.345679012345675	21.782178217821766	64.22018348623861	16.05758582502769	20.066889632107024
S0484	25.15723270440251	0	82.70042194092822	12.82051282051282	22.544283413848632	16.460905349794235	23.102310231023083	61.162079510703435	9.966777408637876	14.49275362318841
S0485	34.59119496855345	20.51282051282051	89.45147679324886	23.504273504273502	24.154589371980677	18.51851851851852	29.702970297029665	74.92354740061172	14.950166112956815	17.83723522853958
S0486	31.446540880503136	10.256410256410255	69.19831223628695	17.094017094017094	11.272141706924316	17.83264746227709	21.782178217821766	62.69113149847102	14.950166112956815	16.722408026755858
S0487	40.880503144654085	5.128205128205128	49.789029535865005	19.23076923076923	24.154589371980677	10.288065843621396	22.442244224422424	47.400611620795146	11.627906976744189	10.033444816053514
S0488	44.0251572327044	0	38.81856540084388	6.410256410256411	19.32367149758454	4.11522633744856	13.861386138613861	32.11009174311927	8.305647840531563	6.688963210702342
S0489	12.578616352201257	0	35.443037974683534	10.683760683760683	27.375201288244767	17.83264746227709	32.3432343234323	25.99388379204893	16.611295681063126	13.377926421404686
S0490	15.723270440251572	15.384615384615383	32.06751054852319	19.23076923076923	22.544283413848632	13.717421124828528	20.46204620462045	22.93577981651376	12.181616832779627	24.526198439241913
S0491	25.15723270440251	5.128205128205128	37.13080168776371	14.957264957264956	20.933977455716587	22.633744855967088	33.00330033003296	33.63914373088686	23.809523809523792	20.066889632107024
S0492	53.45911949685535	46.153846153846146	119.83122362869172	87.6068376068376	154.58937198067633	125.51440329218082	126.73267326732643	148.31804281345592	99.1140642303435	107.02341137123759
S0493	62.8930817610063	51.28205128205127	77.63713080168775	55.55555555555555	95.00805152979066	77.5034293552811	105.61056105610537	111.62079510703383	72.53599114064241	66.88963210702346
