sampleID	trpS	DUF3470	ACP	RpsL	NQO	CarD	UBQ	TPR_2	RelA	CJE
S0018	1716.7167167166972	2070.9876543209666	1831.2236286919676	1693.7669376693607	1583.8509316770062	1047.6190476190377	1112.0218579234922	331.03448275861996	1701.0900745840534	1550.8130081300696
S0019	2348.3483483483196	2583.333333333305	2316.4556962025054	2200.542005420031	2279.5031055900463	1625.1526251525997	1650.2732240437074	625.2873563218377	2532.415375788874	2176.829268292662
S0020	1431.431431431416	1351.851851851841	1472.57383966244	1346.8834688346774	1467.9089026915037	905.9829059828999	1010.9289617486295	459.7701149425265	1636.8330464716034	1416.666666666657
S0021	1305.3053053052918	1185.1851851851768	1274.2616033755246	821.1382113821105	1306.4182194616967	851.0378510378464	999.9999999999957	363.2183908045966	1296.041308089503	1123.983739837393
S0022	1259.2592592592464	1120.370370370363	1194.0928270042184	701.8970189701881	1204.968944099382	739.9267399267383	863.387978142073	344.82758620689566	1218.0149168100995	1089.4308943089382
S0023	1614.6146146145966	1398.1481481481367	1772.151898734163	1086.720867208665	1416.1490683229758	948.7179487179415	1188.524590163929	466.66666666666436	1461.2736660929456	1337.3983739837313
S0024	1511.511511511495	1645.0617283950467	1789.0295358649644	1262.8726287262775	1544.513457556925	920.6349206349141	1049.1803278688478	262.06896551724145	1518.072289156629	1249.9999999999927
S0025	1636.6366366366183	1811.728395061711	1476.7932489451402	1777.7777777777605	1403.7267080745291	958.485958485951	961.7486338797773	363.2183908045966	1605.2782558806682	1317.073170731699
S0026	1457.4574574574417	1663.580246913565	1232.0675105485213	1701.8970189701736	1509.316770186326	853.4798534798488	1008.196721311471	294.2528735632181	1586.9191049913968	1361.78861788617
S0027	3865.865865865815	3342.592592592553	3084.3881856539647	1747.96747967478	3590.0621118013164	2351.6483516483067	2568.3060109289477	1627.5862068965337	3406.196213425135	2943.089430894277
S0028	1853.8538538538323	1611.1111111110965	1518.9873417721435	747.9674796747945	1380.9523809523769	1205.128205128191	1131.1475409836014	714.942528735632	1611.0154905335655	1341.4634146341377
S0029	3964.9649649649127	3422.839506172799	3286.9198312235803	2341.463414634121	3656.3146997930394	2312.5763125762687	2530.0546448087293	1448.275862068954	3986.2306368330533	3406.5040650406117
S0030	2688.688688688655	2419.753086419727	2375.52742616031	2067.7506775067536	2521.7391304347834	1623.9316239315986	1830.6010928961653	767.8160919540235	2861.7326448651797	2556.9105691056648
S0031	4106.106106106052	3861.111111111064	3763.713080168717	3092.1409214091777	3857.1428571429497	2438.339438339391	2322.404371584687	1057.4712643678188	4161.216293746421	3569.1056910568695
S0032	3250.2502502502084	3358.024691357985	3168.776371307971	2840.108401083978	3194.61697722572	1982.905982905948	2071.0382513661093	682.7586206896545	3358.0034423407974	3032.520325203219
S0033	1005.0050050049958	876.5432098765393	852.3206751054875	937.6693766937619	801.2422360248522	621.489621489623	595.6284153005447	365.5172413793092	1083.1899024670126	892.2764227642255
S0034	1285.285285285272	1407.4074074073958	1080.1687763713096	1509.4850948509352	1132.505175983443	802.1978021977989	808.743169398904	326.4367816091947	1283.9931153184186	1115.85365853658
S0035	875.8758758758686	969.1358024691306	683.5443037974699	951.2195121951167	724.6376811594267	528.6935286935327	535.5191256830587	200.0000000000001	924.8422260470469	774.3902439024386
S0036	1502.502502502486	1487.6543209876415	1383.966244725733	1514.905149051477	1304.3478260869556	992.6739926739842	1265.0273224043656	482.7586206896527	1851.9793459552527	1380.081300812999
S0037	2448.4484484484183	1944.444444444425	1873.417721518971	1943.0894308942893	2078.674948240136	1482.2954822954607	1811.475409836056	816.0919540229896	2589.2139988525573	1849.5934959349433
S0038	0	0	0	0	0	0	0	0	0	0
S0039	1090.0900900900797	1219.135802469127	1025.3164556962054	1460.7046070460578	939.9585921325146	610.5006105006123	707.6502732240413	245.97701149425302	1028.1124497991984	1113.8211382113768
S0040	951.9519519519436	1154.320987654313	738.3966244725756	1197.8319783197744	701.8633540372732	533.5775335775375	499.99999999999886	158.6206896551725	835.9150889271385	719.5121951219515
S0041	1690.6906906906715	1700.6172839506014	1527.4261603375442	1395.6639566395547	1221.532091097311	993.8949938949854	1046.4480874316894	443.6781609195382	1355.708548479635	1325.203252032512
S0042	786.7867867867808	709.8765432098751	805.9071729957826	813.0081300812976	658.3850931677074	446.88644688645	491.8032786885235	151.72413793103456	803.2128514056238	658.5365853658549
S0043	1395.3953953953805	1299.3827160493727	1510.5485232067429	1485.0948509484965	1329.192546583849	813.1868131868096	1002.7322404371541	291.95402298850547	1595.5249569707428	1223.5772357723508
S0044	1295.295295295282	1021.6049382715989	814.3459915611835	945.7994579945748	782.6086956521812	744.810744810743	803.2786885245871	312.643678160919	1008.032128514058	890.2439024390222
S0045	726.7267267267216	1027.7777777777717	742.616033755276	1151.761517615168	621.1180124223653	385.83638583638776	448.08743169398826	151.72413793103456	742.971887550202	628.0487804878065
S0046	888.8888888888814	1037.0370370370308	818.5654008438839	1208.6720867208583	848.8612836439005	562.881562881566	581.9672131147524	218.39080459770128	978.1985083189919	798.7804878048772
S0047	2222.2222222221953	2253.0864197530627	1742.6160337552608	1701.8970189701736	1821.9461697722345	1396.8253968253775	1775.9562841529962	712.6436781609193	2112.4497991967905	1695.1219512194984
S0048	1345.3453453453312	1265.4320987654226	1177.215189873417	1135.5013550135423	1167.701863354042	888.8888888888832	887.9781420764991	257.4712643678162	1191.6236374067719	1081.3008130081253
S0049	4208.208208208152	3237.6543209876163	2881.856540084349	3384.8238482384418	3908.9026915114832	2371.1843711843258	3377.0491803278496	1570.1149425287197	4251.864601262198	3282.520325203215
S0050	1645.6456456456272	1888.8888888888703	1455.6962025316386	1631.4363143631285	1641.8219461697574	1094.0170940170829	1379.7814207650206	404.5977011494237	1710.269650028689	1504.0650406503955
S0051	1581.581581581564	1740.7407407407243	1489.4514767932412	1921.4092140921216	1515.5279503105494	949.9389499389426	1005.4644808743126	326.4367816091947	1709.1222030981096	1601.6260162601502
S0052	1055.0550550550452	1336.4197530864092	843.8818565400866	1333.3333333333226	902.6915113871725	631.2576312576325	874.3169398907069	200.0000000000001	1096.9592656339662	1040.6504065040608
S0053	2157.157157157131	2203.7037037036807	1586.4978902953487	2273.712737127347	1598.343685300194	1168.4981684981553	1409.8360655737636	590.8045977011476	1942.6276534710303	1951.2195121951045
S0054	1362.362362362348	1740.7407407407243	1046.413502109707	1831.9783197831798	1033.1262939958694	735.0427350427335	748.633879781418	287.35632183908024	1273.6660929432035	1117.8861788617833
S0055	1284.284284284271	1469.1358024691233	1232.0675105485213	1861.7886178861604	1103.5196687370674	816.8498168498131	841.5300546448054	266.6666666666667	1244.4061962134272	1166.6666666666606
S0056	0	0	0	0	0	0	0	0	0	0
S0057	3907.9079079078565	3641.9753086419314	3092.8270042193653	3037.9403794037585	3265.0103519669256	2368.7423687423234	3166.666666666649	1285.0574712643622	3961.560527825595	2829.2682926828966
S0058	2689.689689689656	2342.5925925925676	2037.9746835442836	2373.9837398373725	2265.010351966857	1728.9377289377007	2081.967213114743	728.735632183908	2596.098680436034	2052.8455284552656
S0059	4462.462462462403	3864.1975308641504	2974.683544303756	3287.262872628687	3579.7101449276097	2642.2466422465895	3554.644808743149	1519.5402298850433	4285.714285714293	3518.292682926789
S0060	2361.3613613613325	2200.6172839505944	1936.7088607594758	2593.4959349593205	2248.447204968926	1465.201465201444	1699.4535519125595	482.7586206896527	2648.3075157773997	2424.7967479674553
S0061	1911.9119119118895	1990.7407407407206	1654.008438818554	2292.6829268292436	1563.146997929595	1070.8180708180603	1379.7814207650206	544.8275862068941	1935.1692484222638	1774.3902439024241
S0062	1960.9609609609379	2225.3086419752854	1675.1054852320556	2433.6043360433337	1519.6687370600316	1126.984126984115	1467.213114754091	436.78160919540034	1862.8800917957576	1615.8536585365728
S0063	1528.5285285285117	1543.2098765431963	1215.18987341772	1718.1571815717994	1105.5900621118085	819.2918192918155	1032.786885245897	324.1379310344821	1407.3436603557109	1170.731707317067
S0064	1296.296296296283	990.7407407407352	1139.2405063291142	1314.3631436314258	877.8467908902777	827.8388278388238	882.5136612021822	239.08045977011508	1188.1812966150335	924.796747967477
S0065	1636.6366366366183	1330.2469135802364	1430.3797468354367	1620.5962059620447	1115.942028985514	1147.7411477411351	1185.7923497267705	326.4367816091947	1597.246127366612	1298.78048780487
S0066	922.922922922915	904.3209876543167	945.1476793248971	1092.1409214092068	768.1159420289925	597.0695970695992	806.0109289617455	248.27586206896567	994.2627653471044	922.7642276422738
S0067	1247.2472472472346	1422.8395061728277	1122.3628691983129	1379.403794037929	1169.772256728783	837.6068376068333	819.6721311475378	287.35632183908024	1416.5232358003466	1130.0813008130026
S0068	1637.6376376376193	1876.5432098765248	1324.8945147679285	2111.111111111089	1561.076604554854	1152.62515262514	1213.114754098355	508.04597701149146	1802.065404475046	1581.300813008118
S0069	1247.2472472472346	1722.222222222206	1312.2362869198275	1818.428184281825	1140.7867494824075	709.4017094017086	980.8743169398865	271.2643678160919	1168.100975329893	1176.8292682926767
S0070	1224.2242242242119	1987.6543209876343	1194.0928270042184	2046.070460704586	1109.7308488612907	636.1416361416373	732.2404371584673	156.32183908045985	1142.283419391855	1121.9512195121897
S0071	1247.2472472472346	1805.5555555555381	1143.4599156118145	1915.9891598915797	1062.111801242245	611.7216117216135	901.6393442622914	186.20689655172424	1062.5358577165823	1095.5284552845478
S0072	2038.0380380380138	2083.333333333312	1738.3966244725605	2186.991869918676	1714.2857142856965	1301.5873015872849	1428.9617486338727	425.28735632183725	1912.2203098106745	1506.0975609755988
S0073	1106.1061061060955	1333.3333333333228	978.9029535865006	1216.8021680216712	1101.4492753623263	802.1978021977989	836.0655737704885	245.97701149425302	1152.6104417670701	1156.5040650406445
S0074	1584.584584584567	1682.0987654320832	1548.5232067510458	1929.5392953929345	1482.4016563146915	1025.6410256410163	1202.1857923497212	388.5057471264354	1694.7791164658663	1739.8373983739693
S0075	2455.455455455425	2632.716049382687	2185.6540084387952	2937.669376693733	1915.1138716355847	1396.8253968253775	1647.540983606549	528.7356321839054	2197.360872059671	2128.048780487785
S0076	2266.2662662662387	2512.345679012318	1856.5400843881696	2848.238482384791	1623.1884057970874	1173.38217338216	1346.9945355191192	558.6206896551702	1965.5765920826195	1784.5528455284402
S0077	2466.466466466436	3027.777777777743	1696.2025316455572	3100.2710027099906	1935.8178053829959	1323.5653235653062	1579.2349726775876	588.5057471264349	2377.5100401606464	2121.951219512175
S0078	1566.5665665665492	2114.197530864176	1392.4050632911337	2010.8401084010634	1204.968944099382	837.6068376068333	871.5846994535484	264.36781609195407	1376.9363166953551	1278.4552845528378
S0079	1213.213213213201	1814.8148148147973	1291.139240506326	1796.7479674796573	886.1283643892426	655.6776556776563	650.2732240437138	193.10344827586218	1087.7796901893305	993.9024390243866
S0080	1211.211211211199	1922.8395061728204	1206.7510548523194	1663.95663956638	900.6211180124312	619.0476190476206	852.4590163934392	181.60919540229895	990.2467010900763	985.7723577235737
S0081	1851.8518518518304	2929.012345678979	1497.8902953586419	2295.3929539295145	1440.9937888198692	1119.6581196581078	1136.6120218579183	549.4252873563195	1800.3442340791769	1591.463414634134
S0082	3931.93193193188	3314.8148148147757	2801.687763713043	2921.409214092107	3358.178053830286	2488.40048840044	3191.256830601075	1494.2528735632052	3780.2639127940397	3058.9430894308607
S0083	4293.293293293236	3694.4444444444	2898.7341772151503	3376.693766937629	3681.1594202899355	2787.545787545731	3319.672131147522	1687.3563218390602	4207.114170969599	3337.398373983702
S0084	3057.057057057018	2466.0493827160226	2367.0886075949093	2528.4552845528174	2422.360248447199	1894.9938949938623	2147.540983606546	963.2183908046007	3078.0263912794085	2432.926829268268
S0085	1667.6676676676489	1734.5679012345515	1210.9704641350197	1715.4471544715284	1472.049689440986	1065.9340659340555	1183.060109289612	558.6206896551702	1733.792312105568	1335.365853658528
S0086	2053.0530530530286	2070.9876543209666	1476.7932489451402	1856.3685636856185	1650.103519668722	1278.3882783882623	1412.568306010922	549.4252873563195	2034.997131382677	1869.9186991869756
S0087	1126.1261261261152	1216.0493827160406	911.3924050632936	1379.403794037929	962.7329192546681	721.6117216117204	784.1530054644779	257.4712643678162	1187.033849684454	1111.7886178861736
S0088	1327.3273273273135	1570.9876543209737	1248.9451476793226	2024.3902439024182	1244.3064182194632	879.1208791208737	915.3005464480837	257.4712643678162	1427.4239816408515	1292.6829268292604
S0089	1125.1251251251142	1216.0493827160406	890.2953586497914	1317.0731707316968	950.3105590062207	739.9267399267383	704.9180327868828	342.52873563218304	1146.8732071141728	1069.105691056906
S0090	4839.839839839775	3922.8395061727915	3324.8945147678833	3322.4932249322096	3366.4596273292514	2913.3089133088533	3273.2240437158284	2213.7931034482367	4743.545611015498	3337.398373983702
S0091	3157.1571571571167	2737.6543209876236	1999.9999999999807	2428.1842818427917	2277.432712215305	1992.6739926739574	2379.7814207650144	1363.2183908045893	3270.2237521514685	2351.6260162601393
S0092	2498.4984984984676	2033.95061728393	1447.257383966238	2037.940379403773	2155.2795031055657	1647.1306471306211	2002.7322404371478	816.0919540229896	2845.0946643717775	2223.5772357723363
S0093	2787.7877877877527	2086.4197530863985	1898.7341772151728	2493.224932249295	2457.556935817802	1847.374847374816	2019.1256830600985	898.8505747126459	3177.280550774532	2689.024390243874
S0094	2581.5815815815495	2719.1358024691053	1949.3670886075768	2626.016260162572	2076.6045548653947	1725.2747252746972	1814.2076502732145	820.689655172415	2733.7923121055696	2345.5284552845296
S0095	2500.5005005004696	2774.69135802466	1983.1223628691794	2813.0081300812685	2068.3229813664293	1539.6825396825166	1633.8797814207567	549.4252873563195	2531.841652323584	2123.9837398373784
S0096	2175.175175175149	2567.901234567873	1679.324894514756	2685.6368563685332	1778.467908902671	1186.8131868131732	1499.9999999999925	478.16091954022744	2084.3373493975937	1827.235772357708
S0097	2836.836836836801	3308.641975308603	2181.434599156095	3382.113821138171	2242.236024844702	1681.3186813186544	1890.7103825136512	712.6436781609193	2747.561675272523	2351.6260162601393
S0098	2377.3773773773482	1830.2469135802291	1658.2278481012543	1382.1138211382	1871.6356107660213	1588.522588522564	1622.9508196721229	931.0344827586233	2212.8514056224935	1630.0813008129953
S0099	2272.2722722722447	2212.96296296294	1780.5907172995637	1672.086720867193	1915.1138716355847	1507.9365079364857	1592.8961748633799	756.3218390804601	2447.5043029259937	1963.4146341463238
S0100	1882.882882882861	1870.370370370352	1717.2995780590588	1859.0785907858894	1668.737060041392	1253.9682539682385	1188.524590163929	445.9770114942508	2087.2059667240424	1857.7235772357562
S0101	2053.0530530530286	2558.641975308614	1793.2489451476647	2682.9268292682623	1650.103519668722	1216.1172161172017	1292.34972677595	480.45977011494006	2052.2088353413687	1890.2439024390078
S0102	1033.0330330330235	1237.6543209876452	848.101265822787	1143.6314363143551	913.0434782608786	588.5225885225909	642.0765027322384	259.77011494252883	1075.7314974182461	947.1544715447125
S0103	1472.4724724724565	1706.7901234567742	1063.2911392405083	1571.8157181571673	1070.3933747412095	804.6398046398012	956.2841530054604	344.82758620689566	1476.1904761904786	1180.8943089430832
S0104	1318.3183183183046	1685.1851851851695	949.3670886075976	1601.626016260148	1076.6045548654329	769.2307692307668	789.6174863387948	280.4597701149424	1305.7946069994284	1075.2032520325156
S0105	4317.31731731726	3768.518518518473	2721.5189873417366	3330.6233062330225	3146.997929606669	2727.7167277166727	3382.5136612021665	1818.3908045976762	4153.184165232365	3010.1626016259834
S0106	2225.2252252251983	1916.6666666666476	1527.4261603375442	2032.520325203231	1834.3685300206812	1299.1452991452825	1601.0928961748552	618.3908045976997	2461.847389558237	1995.9349593495754
S0107	2410.410410410381	2160.4938271604715	1860.75949367087	2111.111111111089	2190.4761904761685	1648.3516483516223	1964.4808743169294	954.02298850575	2651.749856569138	2199.1869918698976
S0108	1606.6066066065887	1222.2222222222133	1430.3797468354367	1737.127371273696	1300.2070393374734	1087.912087912077	1139.3442622950768	413.79310344827417	1902.467010900749	1630.0813008129953
S0109	1755.7557557557357	1657.4074074073922	1472.57383966244	1999.9999999999795	1428.5714285714225	1133.0891330891209	1226.7759562841472	411.49425287356155	1827.882960413084	1686.9918699186856
S0110	1835.8358358358146	2200.6172839505944	1784.810126582264	2168.0216802167793	1544.513457556925	1059.8290598290496	1199.4535519125627	335.6321839080452	1761.9047619047649	1689.0243902438888
S0111	1543.5435435435265	2027.7777777777571	1409.282700421935	2111.111111111089	1260.8695652173922	809.523809523806	907.1038251366083	236.78160919540244	1580.03442340792	1262.195121951212
S0112	1782.7827827827623	1907.4074074073885	1362.8691983122314	2178.861788617863	1395.4451345755647	982.9059829059747	1071.0382513661154	344.82758620689566	1738.9558232931756	1422.7642276422666
S0113	0	0	0	0	0	0	0	0	0	0
S0114	2229.2292292292022	2194.4444444444216	1911.3924050632738	1558.2655826558125	2219.4616977225473	1467.6434676434465	1795.0819672131054	770.1149425287362	2261.6179001721207	1979.6747967479496
S0115	1808.808808808788	1962.9629629629433	1278.481012658225	1715.4471544715284	1532.0910973084783	1051.2820512820413	1292.34972677595	583.9080459770096	1743.5456110154935	1518.292682926818
S0116	736.7367367367315	1101.8518518518447	755.2742616033773	1048.7804878048714	681.1594202898609	476.1904761904799	483.60655737704815	94.25287356321844	768.78944348824	615.8536585365872
S0117	2690.690690690657	3320.9876543209484	1999.9999999999807	3008.130081300778	2325.051759834356	1489.6214896214678	1877.049180327859	717.2413793103447	2917.9575444635734	2325.2032520324974
S0118	2028.028028028004	2398.1481481481223	1405.0632911392347	1999.9999999999795	1766.0455486542244	1218.559218559204	1245.9016393442564	524.1379310344801	2033.2759609868078	1760.1626016260016
S0119	1202.2022022021902	1660.4938271604785	1033.755274261606	1552.8455284552706	1022.7743271221638	663.0036630036634	833.3333333333301	248.27586206896567	1233.5054503729223	1063.0081300812963
S0120	2204.2042042041776	2790.123456790092	1502.1097046413422	2436.3143631436046	1782.6086956521533	1312.5763125762955	1385.2459016393375	535.6321839080434	2110.7286288009213	1808.943089430879
S0121	0	0	0	0	0	0	0	0	0	0
S0122	3679.6796796796316	3037.037037037002	2784.8101265822415	2837.398373983707	3126.2939958592556	2227.1062271061855	2740.43715846993	1354.022988505739	3598.393574297195	2802.8455284552547
S0123	3111.1111111110713	2462.962962962936	2358.6497890295086	2243.9024390243662	2857.142857142881	1675.2136752136485	2439.8907103825004	1234.482758620686	3032.12851405623	2394.308943089407
S0124	2454.454454454424	2191.3580246913352	1767.9324894514627	1918.6991869918506	2122.153209109704	1604.3956043955795	2035.5191256830492	767.8160919540235	2474.469305794611	1967.4796747967303
S0125	2226.2262262261993	1867.2839506172656	1637.1308016877526	1753.3875338753219	1898.5507246376558	1317.4603174603003	1603.8251366120137	781.6091954022995	2247.848537005167	1829.2682926829111
S0126	1105.1051051050945	1064.8148148148082	970.4641350210998	1382.1138211382	1097.308488612844	749.6947496947478	767.7595628415272	289.65517241379285	1187.6075731497438	1067.0731707317027
S0127	1035.0350350350254	981.4814814814761	898.7341772151923	1197.8319783197744	977.2256728778567	598.2905982906004	642.0765027322384	234.4827586206898	1094.6643717728073	1077.2357723577188
S0128	951.9519519519436	1052.4691358024627	797.4683544303817	1192.4119241192325	890.2691511387251	575.0915750915779	581.9672131147524	172.41379310344837	977.6247848537022	882.1138211382093
S0129	1040.0400400400304	1265.4320987654226	890.2953586497914	1447.154471544703	908.9026915113961	620.2686202686218	642.0765027322384	222.98850574712657	1206.540447504305	1018.2926829268253
S0130	2571.5715715715396	2083.333333333312	1894.5147679324725	1983.7398373983538	2318.840579710132	1523.8095238095011	1986.338797814197	875.8620689655191	2617.326448651754	1987.8048780487625
S0131	1969.9699699699468	1509.2592592592462	1518.9873417721435	1539.2953929539158	1842.6501035196457	1189.2551892551755	1478.1420765027249	620.6896551724124	2034.997131382677	1630.0813008129953
S0132	2158.158158158132	1864.1975308641793	1717.2995780590588	1777.7777777777605	2149.0683229813417	1378.5103785103597	1713.1147540983518	565.5172413793082	2214.5725760183627	1796.7479674796596
S0133	2956.9569569569194	2249.9999999999764	2084.3881856539874	2382.1138211381854	2650.1035196687467	1793.6507936507637	2357.923497267747	885.0574712643698	2980.493402180154	2471.5447154471294
S0134	1104.1041041040935	941.3580246913532	932.4894514767958	1059.6205962059553	1082.8157349896562	666.666666666667	718.5792349726751	268.9655172413793	1211.1302352266227	1034.5528455284511
S0135	873.8738738738666	1114.1975308641902	751.0548523206769	1219.5121951219421	788.8198757764048	526.2515262515303	475.4098360655728	128.7356321839081	901.8932874354576	709.3495934959354
S0136	1414.4144144143993	1580.2469135802328	991.561181434602	1514.905149051477	1233.9544513457577	725.274725274724	844.2622950819639	262.06896551724145	1429.1451520367207	1136.1788617886123
S0137	1485.4854854854693	1762.345679012329	1164.5569620253161	1653.1165311652962	1312.62939958592	832.7228327228286	808.743169398904	324.1379310344821	1504.8766494549652	1241.8699186991798
S0138	1783.7837837837633	1614.197530864183	1130.8016877637135	1349.5934959349484	1674.9482401656153	1156.2881562881435	1336.0655737704853	567.8160919540209	1768.215720022952	1451.2195121951117
S0139	1797.797797797777	1382.7160493827048	1177.215189873417	1216.8021680216712	1606.6252587991585	1029.3040293040199	1401.6393442622882	645.9770114942518	1799.7705106138872	1373.9837398373893
S0140	1338.3383383383243	1290.1234567901136	1016.8776371308046	1262.8726287262775	1339.5445134575546	925.5189255189189	928.9617486338759	301.14942528735594	1522.662076878947	1337.3983739837313
S0141	974.9749749749662	981.4814814814761	780.59071729958	1146.341463414626	799.171842650111	623.9316239316254	551.9125683060095	216.09195402298863	1057.9460699942645	914.6341463414609
S0142	928.9289289289209	1364.1975308641865	746.8354430379765	1401.0840108400967	861.2836438923479	521.3675213675256	519.125683060108	160.91954022988514	1034.9971313826752	876.0162601625997
S0143	1223.2232232232109	1570.9876543209737	898.7341772151923	1615.1761517615028	923.3954451345847	664.2246642246646	647.5409836065553	241.37931034482773	1238.0952380952401	908.5365853658512
S0144	1195.1951951951833	1632.7160493827012	962.0253164556989	1712.7371273712574	1086.9565217391385	720.3907203907193	685.7923497267736	248.27586206896567	1358.003442340794	1020.3252032520285
S0145	641.6416416416378	1237.6543209876452	493.67088607595014	1246.6124661246517	467.9089026915143	258.8522588522583	210.3825136612024	50.57471264367818	572.0022948938621	418.699186991872
S0146	0	0	0	0	0	0	0	0	0	0
S0147	5078.07807807801	4179.012345678961	4168.7763713079485	4802.168021680156	3542.4430641822655	2894.9938949938355	3855.191256830579	1512.6436781609057	4108.433734939766	3416.666666666628
S0148	5281.28128128121	4299.382716049329	4434.599156118069	4948.509485094788	3691.511387163642	3637.362637362558	4095.6284153005226	1779.3103448275626	5074.0103270223835	3920.731707317027
S0149	2038.0380380380138	1728.3950617283788	1354.4303797468308	1883.4688346883281	1569.3581780538184	1279.6092796092635	1360.6557377049114	556.3218390804575	2127.9403327596133	1676.8292682926694
S0150	2396.396396396367	2074.074074074053	1751.0548523206614	2013.5501355013344	2385.093167701855	1490.842490842469	1844.2622950819575	703.4482758620686	2518.6460126219204	1991.869918699169
S0151	652.6526526526486	854.9382716049347	569.620253164558	813.0081300812976	662.5258799171899	349.2063492063504	308.7431693989072	52.87356321839083	628.8009179575455	483.73983739837695
S0152	5023.023023022955	3996.9135802468645	2949.3670886075543	3829.2682926828797	3652.1739130435567	3221.0012210011528	3439.890710382494	1563.218390804582	4670.682730923702	3371.951219512157
S0153	2855.8558558558198	2317.9012345678766	1915.6118143459742	2333.333333333308	2149.0683229813417	1904.7619047618718	2040.983606557366	1140.229885057471	3025.243832472753	2077.2357723577043
S0154	3163.1631631631226	2469.135802469109	1949.3670886075768	2596.2059620595915	2881.987577639777	1914.5299145298814	2792.349726775941	1583.908045976995	3348.250143430872	2695.121951219484
S0155	1541.5415415415246	1660.4938271604785	1130.8016877637135	2013.5501355013344	1345.755693581778	1134.310134310122	863.387978142073	298.8505747126433	1650.0286861732673	1485.7723577235665
S0156	1257.2572572572444	1546.2962962962827	953.586497890298	1601.626016260148	1146.9979296066308	739.9267399267383	811.4754098360625	280.4597701149424	1382.0998278829627	1235.7723577235702
S0157	1182.1821821821704	1543.2098765431963	983.1223628692011	710.027100271001	1008.2815734989751	909.6459096459034	814.2076502732209	379.3103448275849	1234.079173838212	993.9024390243866
S0158	1335.3353353353214	1533.9506172839372	1189.873417721518	910.5691056910523	1213.2505175983465	952.380952380945	871.5846994535484	381.60919540229753	1425.1290877796926	1158.5365853658477
S0159	16449.449449449217	16009.259259259035	14164.556962026309	10680.216802167875	18724.637681159376	9960.927960929896	13087.431693990486	7377.011494252647	18496.84452093424	14036.585365853465
S0160	5641.641641641565	4700.617283950558	4109.704641350144	3425.474254742506	5279.503105589993	3522.5885225884463	3942.6229508196493	2411.494252873517	5962.7079747561775	4640.243902438968
S0161	2242.242242242215	2046.2962962962754	1831.2236286919676	1634.1463414633995	2178.0538302277205	1421.2454212454013	1765.0273224043624	910.3448275862092	2344.8078026391318	1810.9756097560821
