1191523	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter;Melioribacter roseus;Melioribacter roseus P3M-2
1195236	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] termitidis;[Clostridium] termitidis CT1112
1196322	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Maddingley MBC34-26
1204725	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium formicicum;Methanobacterium formicicum DSM 3637
1218565	Spirochaetes	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira alstonii;Leptospira alstonii serovar Sichuan;Leptospira alstonii serovar Sichuan str. 79601
1229486	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);gamma proteobacterium L18
1235798	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea sp. 5-2
1278307	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonas;Psychromonas ossibalaenae;Psychromonas ossibalaenae ATCC BAA-1528
1280679	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp. VCB2006
1295642	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Parageobacillus;Parageobacillus genomosp. 1
1298608	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter sp. JCM 18900
1313421	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;Aureispira;Aureispira sp. CCB-QB1
1315313	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio fluvialis;Vibrio fluvialis 539
1395571	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas taeanensis;Pseudomonas taeanensis MS-3
1410676	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens;Succinivibrio dextrinosolvens H5
1430440	Rhodospirillales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;Magnetospirillum gryphiswaldense;Magnetospirillum gryphiswaldense MSR-1;Magnetospirillum gryphiswaldense MSR-1 v2
1453352	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sediminicola;Sediminicola sp. YIK13
1454004	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;Candidatus Accumulibacter;Candidatus Accumulibacter sp. BA-93
1486257	Rhodobacterales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Maricaulis;Maricaulis sp.
1548147	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter sp. MIT 03-1614
1811661	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);Gammaproteobacteria bacterium REDSEA-S03_B5
1811664	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);Gammaproteobacteria bacterium REDSEA-S12_B4
1869227	bacteria	cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);bacterium
1871037	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;unclassified Flavobacteriaceae;Flavobacteriaceae bacterium
1872629	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp.
1883427	Actinobacteria	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;unclassified Actinobacteria (class);unclassified Actinobacteria (class) (miscellaneous);Actinobacteria bacterium
1898112	Rhodospirillales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified Rhodospirillaceae;Rhodospirillaceae bacterium
1904441	Rhodobacterales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified Rhodobacteraceae;Rhodobacteraceae bacterium
1913988	alphaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;unclassified Alphaproteobacteria (miscellaneous);Alphaproteobacteria bacterium
1913989	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);Gammaproteobacteria bacterium
1915554	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula sp. UBA64
1915626	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;unclassified Methanocellaceae;Methanocellaceae archaeon UBA148
1915715	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;unclassified Thermoplasmatales;unclassified Thermoplasmatales (miscellaneous);Thermoplasmatales archaeon UBA444
1917430	archaea	cellular organisms;Archaea;unclassified Archaea;unclassified Archaea (miscellaneous);archaeon UBA140
1917431	archaea	cellular organisms;Archaea;unclassified Archaea;unclassified Archaea (miscellaneous);archaeon UBA490
1946044	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA1348
1946045	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA2431
1946046	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA2434
1946047	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA2438
1946048	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA2443
1946049	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. UBA4038
1946346	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. UBA1056
1946413	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus sp. UBA5775
1946908	alphaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;Micavibrio;Micavibrio sp. UBA1672
1946961	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp. UBA4119
1946964	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp. UBA5151
1946966	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp. UBA6044
1947402	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;Ruminiclostridium sp. UBA3934
1948173	proteobacteria	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);Proteobacteria bacterium UBA4455
1948174	proteobacteria	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);Proteobacteria bacterium UBA4457
1948185	proteobacteria	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);Proteobacteria bacterium UBA5680
1948198	proteobacteria	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);Proteobacteria bacterium UBA664
1948226	proteobacteria	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);Proteobacteria bacterium UBA981
1948360	alphaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;unclassified Alphaproteobacteria (miscellaneous);Alphaproteobacteria bacterium UBA1330
1948361	alphaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria;unclassified Alphaproteobacteria (miscellaneous);Alphaproteobacteria bacterium UBA1485
