genome	HepDI	HepDII	MpnS	PepM	PpdA	PpdH	isocitrase_lyase_like
specI-1463891	0	0	0	1	0	0	2
specI-1463908	0	0	0	1	0	1	2
specI-1463911	0	0	0	1	0	1	2
specI-1463914	0	0	0	1	0	0	2
specI-1463918	0	0	0	1	0	0	2
specI-1463922	0	0	0	1	1	0	2
specI-1463924	0	0	0	1	0	0	2
specI-1464077	0	0	0	1	0	0	2
specI-1519471	0	0	0	1	1	1	2
specI-1519476	0	0	0	1	1	0	2
specI-1519477	0	0	0	1	0	0	2
specI-1519478	0	0	0	1	1	0	2
specI-1519479	0	0	0	1	1	0	2
specI-1519480	0	0	0	1	1	0	2
specI-1519481	0	0	0	1	1	0	2
specI-1519482	0	0	0	1	1	0	2
specI-1519483	0	0	0	1	1	0	2
specI-1519485	0	0	0	1	1	0	2
specI-1519486	0	0	0	1	1	0	2
specI-1519487	0	0	0	1	1	0	2
specI-1519488	0	0	0	1	1	0	2
specI-1519489	1	0	0	1	1	1	2
specI-1519495	0	0	0	1	0	1	2
specI-1519496	0	0	0	1	1	0	2
specI-1519497	0	0	0	1	0	1	2
specI-1519498	0	0	0	1	1	0	2
specI-1609135	0	0	0	1	1	0	2
specI-1914	0	0	0	1	1	0	2
specI-193461	0	0	0	1	0	1	2
specI-1938	0	0	0	1	1	1	2
specI-1954	0	0	0	1	0	0	2
specI-1960	0	0	0	1	0	0	2
specI-1961	0	0	0	1	0	0	2
specI-2066	0	0	0	1	0	0	2
specI-220664	0	0	0	1	0	0	2
specI-285575	0	0	0	1	0	0	2
specI-339670	0	0	0	1	1	0	2
specI-352165	0	0	0	1	1	1	2
specI-359159	1	0	0	1	1	1	2
specI-395019	0	0	0	1	1	0	2
specI-42198	0	0	0	1	0	0	2
specI-452652	0	0	0	1	0	0	2
specI-463191	0	0	0	1	0	2	2
specI-58340	0	0	0	1	1	0	2
specI-591159	1	0	0	1	1	1	2
specI-640510	0	0	0	1	1	0	2
specI-640512	0	0	0	1	1	1	2
specI-65497	0	0	0	1	0	1	2
specI-66874	0	0	0	1	0	0	2
specI-66897	0	0	0	0	1	0	2
specI-67257	0	1	0	1	1	1	2
specI-67351	0	0	0	1	0	0	2
specI-68201	0	0	0	1	0	0	2
specI-68228	0	0	0	1	0	0	2
specI-68242	0	0	0	1	0	0	2
specI-73044	0	0	0	1	1	0	2
specI-742741	0	0	0	1	1	1	2
specI-754502	0	0	0	1	1	0	2
specI-871203	0	0	0	1	1	0	2
specI-93220	0	0	0	1	1	0	2
specI-935543	0	0	0	1	1	0	2
specI-935557	0	0	0	1	0	0	2
specI-944435	0	0	0	1	1	0	2
specI-95486	0	0	0	1	1	1	2
specI-985665	0	0	0	1	1	0	2
TMED8	0	0	0	1	1	0	2
UBA1704	0	0	0	1	1	1	2
UBA1706	0	0	0	0	1	0	2
UBA2010	0	0	0	1	1	0	2
UBA2027	0	0	0	1	1	0	2
UBA2534	0	0	0	1	1	0	2
UBA2588	0	0	0	0	1	0	2
UBA2976	0	0	0	0	1	0	2
UBA4455	0	0	0	1	1	0	2
UBA5685	0	0	1	1	1	0	2
UBA6605	1	0	0	0	0	0	2
UBA981	0	0	0	1	1	0	2
AG-337-N21	0	0	0	1	1	0	1
AG-410-A08	0	0	1	0	0	0	1
ARS1279	0	0	0	1	1	0	1
ARS1434	0	0	0	1	1	0	1
ARS16	0	0	1	1	1	0	1
ARS27	0	0	0	1	1	0	1
ATCCBAA-691	0	0	0	1	1	0	1
DSM18065	0	0	0	1	1	0	1
DSM18834	0	0	0	1	1	0	1
DSM44171	0	0	0	1	0	0	1
DSM44728	0	0	0	1	1	1	1
DSM45090	0	0	0	1	1	0	1
DSM45188	0	0	0	1	1	1	1
MED660	0	0	0	1	1	0	1
MED672	0	0	0	1	0	0	1
MMP00000032	0	0	1	1	0	1	1
MMP00060985	0	0	0	1	1	1	1
MMP02469388	0	0	0	0	1	0	1
MMP02469391	0	0	0	0	1	0	1
MMP02471010	0	0	0	1	0	1	1
MMP02598300	0	0	0	1	1	0	1
MMP05826283	0	0	0	1	1	0	1
MMP05826284	0	0	0	1	1	0	1
MMP06075352	0	0	0	1	1	2	1
MMP3245995	0	0	0	1	0	0	1
NAT226	0	0	0	0	1	0	1
NP153	0	0	0	1	1	0	1
NP21	0	0	0	1	0	0	1
RS361	0	0	0	1	1	1	1
RS40	0	0	0	1	1	1	1
RS434	0	0	0	1	1	0	1
