genome	qseqtax
AG-349-M17	prochlorococcus
AG-917-I07	prochlorococcus
AG-918-A18	prochlorococcus
AG-918-I04	prochlorococcus
AG-919-E02	prochlorococcus
AG-919-J11	prochlorococcus
AG-919-K04	prochlorococcus
AG-920-A05	prochlorococcus
AG-920-F21	prochlorococcus
AG-359-B02	prochlorococcus
AG-422-G20	prochlorococcus
AG-426-N14	prochlorococcus
AG-915-P16	prochlorococcus
AG-892-J14	prochlorococcus
AG-892-O15	prochlorococcus
AG-898-A19	prochlorococcus
AG-901-O19	prochlorococcus
AG-904-J02	prochlorococcus
AG-917-P01	prochlorococcus
AG-919-A15	prochlorococcus
AG-439-I03	prochlorococcus
AG-891-G07	pseudomonadales
AG-901-J11	pseudomonadales
AG-915-I22	pseudomonadales
AG-894-G10	pseudomonadales
AG-895-N08	pseudomonadales
AG-898-J13	pseudomonadales
AG-908-B09	pseudomonadales
AG-899-A15	pseudomonadales
AG-414-A10	pseudomonadales
AG-426-A10	pseudomonadales
AG-905-C17	pseudomonadales
AG-464-P19	rhizobiales
AG-439-O03	rhizobiales
AG-426-F20	rhizobiales
AG-891-K18	rhizobiales
AG-912-F21	rhizobiales
AG-414-C21	rhodobacteraceae
AG-910-B21	rhodobacteraceae
AG-917-C06	rhodobacteraceae
AG-313-B09	rhodobacteraceae
AG-461-J13	rhodobacteraceae
AG-313-F06	rhodobacteraceae
AG-313-K19	rhodobacteraceae
AG-895-P05	rhodobacteraceae
AG-390-A18	rhodobacteraceae
AG-390-A18	rhodobacteraceae
AG-891-J16	rhodobacteraceae
AG-359-I23	rhodobacteraceae
AG-892-J06	rhodobacteraceae
AG-892-M03	rhodobacteraceae
AG-895-K23	rhodobacteraceae
AG-899-C03	rhodobacteraceae
AG-905-N21	rhodobacteraceae
AG-919-I17	rhodobacteraceae
AG-447-K17	rhodobacteraceae
AG-457-F15	rhodobacteraceae
AG-461-N05	rhodobacteraceae
AG-439-C07	rhodobacteraceae
AG-911-J10	SAR116
AG-390-L20	SAR116
AG-892-I13	SAR116
AG-892-N18	SAR116
AG-892-O07	SAR116
AG-893-L10	SAR116
AG-901-N10	SAR116
AG-915-E09	SAR116
AG-915-N18	SAR116
AG-891-N20	SAR116
AG-913-I11	SAR116
AG-917-F20	SAR116
AG-447-A06	SAR116
AG-447-A06	SAR116
AG-899-O20	SAR116
AG-914-C14	SAR116
AG-390-M08	SAR116
AG-892-C19	SAR116
AG-895-E06	SAR116
AG-898-B14	SAR116
AG-900-F13	SAR116
AG-319-F03	SAR116
AG-390-P06	SAR116
AG-913-M18	SAR116
AG-918-C11	SAR324
AG-891-F20	SAR86
AG-891-L14	SAR86
AG-892-J21	SAR86
AG-892-P09	SAR86
AG-897-B19	SAR86
AG-898-C15	SAR86
AG-447-G08	SAR86
AG-447-K19	SAR86
AG-461-A13	SAR86
AG-892-P23	SAR86
AG-319-A11	SAR86
AG-319-O13	SAR86
AG-333-A20	SAR86
AG-343-J11	SAR86
AG-410-C18	SAR86
AG-390-D17	SAR86
AG-422-P06	SAR86
AG-457-P04	SAR86
AG-891-M16	SAR86
AG-891-O14	SAR86
AG-892-M20	SAR86
AG-893-I16	SAR86
AG-920-O09	SAR86
AG-333-J13	SAR86
AG-404-A04	SAR86
AG-912-C05	SAR86
AG-920-N15	SAR86
AG-916-L13	SAR86
AG-359-K21	SAR86
AG-319-E10	thiomicrospirales
AG-319-K19	thiomicrospirales
AG-319-P10	thiomicrospirales
AG-895-B10	verrucomicrobiae
AG-908-P09	verrucomicrobiae
AG-913-J04	verrucomicrobiae
AG-894-J05	verrucomicrobiae
